,Species_Code,Common_Name,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,taxanomic_source,taxanomic_id,species_definition
0,ANC,Northern Anchovy,Engraulis mordax,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,www.marinespecies.org,272286,Engraulis mordax
1,BAR,Pacific Barracuda,Sphyraena argentea,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Sphyraena argentea,www.marinespecies.org,273978,Sphyraena argentea
2,BAY,Black-and-Yellow Rockfish,Sebastes chrysomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes chrysomelas,www.marinespecies.org,240737,Sebastes chrysomelas
3,BCO,Bocaccio,Sebastes paucispinis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes paucispinis,www.marinespecies.org,274833,Sebastes paucispinis
4,BID,UnID Blue Rockfish,Sebastes mystinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes mystinus,www.marinespecies.org,274823,Sebastes mystinus
5,BLA,Black Rockfish,Sebastes melanops,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes melanops,www.marinespecies.org,274817,Sebastes melanops
6,BLM,Blacksmith,Chromis punctipinnis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis punctipinnis,www.marinespecies.org,273751,Chromis punctipinnis
7,BLU,Blue Rockfish,Sebastes mystinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes mystinus,www.marinespecies.org,274823,Sebastes mystinus
8,BMS,Bigmouth Sole,Hippoglossina stomata,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina,Hippoglossina stomata,www.marinespecies.org,275827,Hippoglossina stomata
9,BSB,Barred Sand Bass,Paralabrax nebulifer,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,Paralabrax nebulifer,www.marinespecies.org,282059,Paralabrax nebulifer
10,BSK,Big Skate,Beringraja binoculata,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,www.marinespecies.org,1021330,Beringraja binoculata
11,BSP,Black Seaperch,Embiotoca jacksoni,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,Embiotoca jacksoni,www.marinespecies.org,240746,Embiotoca jacksoni
12,BUF,Buffalo Sculpin,Enophrys bison,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,www.marinespecies.org,275355,Enophrys bison
13,BUS,Bull Sculpin,Enophrys taurina,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,Enophrys taurina,www.marinespecies.org,275356,Enophrys taurina
14,BWN,Brown Rockfish,Sebastes auriculatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes auriculatus,www.marinespecies.org,274773,Sebastes auriculatus
